aaa	工
gjv	更好
gjw	理念
gjx	琨
gjy	璟
gka	事项
gkb	带队
gkc	融通
gkd	带有
gke	琄
gkf	吾
gkg	带来
gkh	囊
gki	整
gkj	吞吐量
gkk	卅
gkl	副
gkm	融
gkn	事情
gko	速度
gkp	带
gkq	事儿
gkr	吏
gks	整机
gkt	事务
gku	豆
gkv	事
gkw	整个
gkx	束缚
gky	速率
gla	 
glb	画
glc	 
gld	画面
gle	 
glf	五四运动
glg	一国两制
glh	玾
gli	柬
glj	 
glk	卌
gll	画图
glm	画册
gln	画展
glo	画廊
glp	琏
glq	㻿
glr	画报
gls	 
glt	画笔
glu	两国关系
glv	㻲
glw	两国人民
glx	㼈
gly	正因为
gma	遭
gmb	下岗职工
gmc	两难
gmd	瑞
gme	遭受
gmf	再
gmg	遭到
gmh	两眼
gmi	刺
gmj	遭遇
gmk	下岗员工
gml	两国
gmm	珊
gmn	现已
gmo	再度
gmp	现实
gmq	现
gmr	严峻的
gms	′
gmt	现行
gmu	责
gmv	再婚
gmw	两
gmx	两级
gmy	丽
gna	珉
gnb	㐏
gnc	 
gnd	琚
gne	恶性肿瘤
gnf	殖民地
gng	与
gnh	瑕
gni	㝳
gnj	到那时
gnk	开发中心
gnl	 
gnm	致以崇高的敬意
gnn	瓦
gno	 
gnp	一臂之力
gnq	瓦解
gnr	戸
gns	 
gnt	开发利用
gnu	忢
gnv	丂
gnw	与会
gnx	开发费
gny	副书记
goa	政府工作报告
gob	政府职能
goc	 
god	严
goe	来料加工
gof	王府井
gog	亚
goh	来此
goi	来
goj	来临
gok	晋中
gol	来回
gom	赉
gon	恶性
goo	琰
gop	严密
goq	璘
gor	来看
gos	严格
got	来自
gou	政府部门
gov	瑭
gow	来信
gox	灭绝
goy	来说
gpa	 
gpb	一定限度
gpc	一定能够
gpd	辷
gpe	事实胜于雄辩
gpf	琮
gpg	事实表明
gph	事实上
gpi	两袖清风
gpj	一定是
gpk	 
gpl	珲
gpm	一视同仁
gpn	现实情况
gpo	万家灯火
gpp	一审宣判
gpq	琬
gpr	一定的
gps	一定要
gpt	现实生活
gpu	现实意义
gpv	囊空如洗
gpw	琛
gpx	严守纪律
gpy	事实证明
gqa	殊荣
gqb	殛
gqc	殆
gqd	五角大楼
gqe	万
gqf	残
gqg	琻
gqh	迈步
gqi	歹
gqj	列
gqk	趸
gql	列车
gqm	殃
gqn	殆尽
gqo	列席
gqp	迈
gqq	殉
gqr	殊
gqs	残酷
gqt	熬
gqu	殚
gqv	兀
gqw	殓
gqx	死
gqy	玖
gra	更年期
grb	一揽子
grc	天气预报
grd	碧
gre	 
grf	素质教育
grg	珀
grh	 
gri	珠
grj	 
grk	豆制品
grl	一年四季
grm	五指山
grn	形势发展
gro	开拓精神
grp	珠宝
grq	瑰
grr	一把手
grs	 
grt	束手待毙
gru	开拓前进
grv	一拍即合
grw	青年人
grx	碧绿
gry	五年计划
gsa	到本世纪末
gsb	末了
gsc	 
gsd	互相帮助
gse	来样加工
gsf	互相支持
gsg	严要求
gsh	玎
gsi	末
gsj	亍
gsk	珂
gsl	 
gsm	平顶山
gsn	末尾
gso	 
gsp	灭顶之灾
gsq	 
gsr	严格的
gss	琳
gst	═
gsu	严格遵守
gsv	 
gsw	互相促进
gsx	严格纪律
gsy	理想主义
gta	一等功
gtb	琇
gtc	再生能源
gtd	一条龙
gte	两条腿走路
gtf	瓒
gtg	珩
gth	 
gti	政策水平
gtj	严重影响
gtk	珞
gtl	璁
gtm	一番周折
gtn	副秘书长
gto	一季度
gtp	五笔字型
gtq	严重危害
gtr	严重的
gts	更重要的是
gtt	事务处理
gtu	麦
gtv	㻶
gtw	互利合作
gtx	玻利维亚
gty	玫
gua	事半功倍
gub	平阳
guc	平台
gud	夹
gue	平遥
guf	平
gug	副总理
guh	开阔眼界
gui	平常
guj	璋
guk	副产品
gul	璔
gum	平山
gun	一次性
guo	平庸
gup	平安
guq	夹角
gur	下半年
gus	平板
gut	平衡
guu	再立新功
guv	夹杂
guw	一部分
gux	副总经理
guy	平方
gva	一刀切
gvb	妻子
gvc	 
gvd	再好不过
gve	珢
gvf	更好地
gvg	惠灵顿
gvh	妻
gvi	琭
gvj	璅
gvk	玿
gvl	㼃
gvm	 
gvn	严肃性
gvo	㻏
gvp	开始实施
gvq	 
gvr	 
gvs	严肃查处
gvt	瑙
gvu	 
gvv	一如既往
gvw	开始使用
gvx	开始继续
gvy	严肃认真
gwa	玳
gwb	开创了
gwc	一个又一个
gwd	责任感
gwe	珍
gwf	与会者
gwg	瑜
gwh	整体上
gwi	整体水平
gwj	一个时期以来
gwk	珍贵
gwl	责任田
gwm	与会同志
gwn	玑
gwo	 
gwp	现代农业
gwq	一会儿
gwr	责任制
gws	一个样
gwt	现代科技
gwu	兲
gwv	玢
gww	现代化
gwx	责任编辑
gwy	玲
gxa	玛纳斯
gxb	互联
gxc	互通
gxd	素有
gxe	互助
gxf	再经过
gxg	互
gxh	纛
gxi	素
gxj	一贯坚持
gxk	毒品
gxl	正统思想
gxm	万维网
gxn	毒性
gxo	开绿灯
gxp	互补
gxq	毒枭
gxr	素质
gxs	互相
gxt	互利
gxu	毒
gxv	 
gxw	夷
gxx	玭
gxy	互访
gya	理论基础
gyb	班子
gyc	琉
gyd	一方面
gye	珳
gyf	天主教
gyg	斑
gyh	理论上
gyi	玉
gyj	再就是
gyk	琼
gyl	班车
gym	玉山
gyn	开放性
gyo	平方米
gyp	一夜之间
gyq	开户银行
gyr	璃
gys	玉林
gyt	班
gyu	玉兰
gyv	琅
gyw	副主任
gyx	班组
gyy	玟
haa	虐
hab	 
hac	 
had	睰
hae	虏
haf	虞城
hag	瞒
hah	頥
hai	 
haj	戱
hak	虞
hal	瞄
ham	䁐
han	虑
hao	虚
hap	虚实
haq	虚名
har	眍
has	虚构
hat	卡斯特罗
hau	瞄准
hav	虍
haw	虎
hax	眼花缭乱
hay	虔
hba	齖
hbb	齱
hbc	齝
hbd	齮
hbe	齨
hbf	￥
hbg	眲
hbh	䶥
hbi	 
hbj	齥
hbk	齞
hbl	齫
hbm	䶡
hbn	齓
hbo	 
hbp	齳
hbq	齺
hbr	齗
hbs	齼
hbt	齕
hbu	齴
hbv	 
hbw	齘
hbx	 
hby	齩
hca	皮革
hcb	上台阶
hcc	眼巴巴
hcd	颇
hce	皮肤
hcf	皯
hcg	皮带
hch	颇具
hci	皮
hcj	㓟
hck	眙
hcl	 
hcm	皮肉
hcn	瞲
hco	 
hcp	皹
hcq	颇多
hcr	悲观失望
hcs	皮棉
hct	眸
hcu	攴
hcv	㿪
hcw	睃
hcx	 
hcy	颇为
hda	具有划时代的意义
hdb	辈出
hdc	悲观
hdd	卓有成效
hde	 
hdf	睚
hdg	䀦
hdh	辈
hdi	非常
hdj	占有量
hdk	具有中国特色
hdl	具有国际先进水平
hdm	颇有同感
hdn	悲剧
hdo	 
hdp	 
hdq	斐然
hdr	 
hds	悲歌
hdt	具有重要意义
hdu	悲痛
hdv	目不忍睹
hdw	非凡
hdx	点面结合
hdy	悲哀
hea	 
heb	卡脖子
hec	颇受欢迎
hed	 
hee	 
hef	肯
heg	眀
heh	瞍
hei	 
hej	瞬时
hek	 
hel	䂃
hem	 
hen	 
heo	 
hep	瞬
heq	睨
her	䁘
hes	睬
het	䀐
heu	瞬间
hev	 
hew	 
hex	 
hey	 
hfa	 
hfb	 
hfc	歧
hfd	战无不胜
hfe	 
hff	眭
hfg	 
hfh	盰
hfi	目无法纪
hfj	 
hfk	睵
hfl	 
hfm	 
hfn	上进心
hfo	 
hfp	歧视
hfq	盶
hfr	 
hfs	虚无飘渺
hft	睹
hfu	䁄
hfv	 
hfw	睦
hfx	虚无缥缈
hfy	歧义
hga	上工
hgb	盹
hgc	上马
hgd	上
hge	睛
hgf	盱
hgg	上下
hgh	卡
hgi	叔
hgj	上映
hgk	上路
hgl	卡车
hgm	上网
hgn	忐
hgo	睐
hgp	上空
hgq	上旬
hgr	卡拉
hgs	上述
hgt	上升
hgu	上门
hgv	睫
hgw	上一个
hgx	上级
hgy	上市
hha	瞒上欺下
hhb	步子
hhc	步骤
hhd	频
hhe	 
hhf	止境
hhg	止
hhh	目
hhi	目光
hhj	 
hhk	目瞪口呆
hhl	丨
hhm	 
hhn	步履
hho	频度
hhp	虚虚实实
hhq	睍
hhr	步
hhs	目标
hht	步入
hhu	歨
hhv	目录
hhw	瞿
hhx	眦
hhy	卜
hia	 
hib	非法出版物
hic	 
hid	非洲大陆
hie	上当受骗
hif	 
hig	非常严重
hih	 
hii	非常满意
hij	非常明显
hik	 
hil	非洲国家
him	上涨幅度
hin	非常快
hio	非常广阔
hip	瞠
hiq	非常危险的
hir	非法所得
his	柴油机
hit	眇
hiu	非常痛快
hiv	非常好
hiw	非常任理事国
hix	非法经营
hiy	上海市
hja	卓著
hjb	桌子
hjc	 
hjd	桌面
hje	旧貌
hjf	卓
hjg	旧
hjh	此时此刻
hji	䁜
hjj	旧时
hjk	 
hjl	 
hjm	 
hjn	旧居
hjo	 
hjp	䁙
hjq	卓然
hjr	 
hjs	桌
hjt	睲
hju	 
hjv	 
hjw	旧货
hjx	卓绝
hjy	 
hka	战
hkb	点阵
hkc	战马
hkd	占有
hke	战胜
hkf	占
hkg	战事
hkh	占卜
hki	点滴
hkj	战时
hkk	瞣
hkl	战略
hkm	觇
hkn	乩
hko	点
hkp	鼎足之势
hkq	战争
hkr	占据
hks	战术
hkt	战役
hku	战斗
hkv	 
hkw	占领
hkx	战线
hky	点评
hla	 
hlb	战略防御
hlc	 
hld	战略研究
hle	䁌
hlf	盀
hlg	战略平衡
hlh	战略目标
hli	 
hlj	 
hlk	㔽
hll	战略思想
hlm	䁲
hln	战略性
hlo	鹶
hlp	战略家
hlq	 
hlr	卤
hls	战略要地
hlt	战略重点
hlu	战略决策
hlv	瞜
hlw	战略任务
hlx	 
hly	战略方针
hma	欳
hmb	 
hmc	 
hmd	眏
hme	 
hmf	上岗培训
hmg	上山下乡
hmh	 
hmi	非同小可
hmj	 
hmk	 
hml	 
hmm	 
hmn	卣
hmo	 
hmp	遉
hmq	 
hmr	 
hms	 
hmt	 
hmu	贞
hmv	非同寻常
hmw	 
hmx	 
hmy	眼见为实
hna	眠
hnb	瞰
hnc	步履艰难
hnd	鼎
hne	 
hnf	 
hng	肯尼亚
hnh	瞩目
hni	卢湾
hnj	 
hnk	䁹
hnl	 
hnm	凹
hnn	悲剧性
hno	 
hnp	 
hnq	鸬
hnr	卢
hns	 
hnt	瞩
hnu	鼎立
hnv	上层建筑
hnw	悲惨命运
hnx	步履维艰
hny	 
hoa	矌
hob	歯
hoc	 
hod	 
hoe	 
hof	 
hog	瞨
hoh	 
hoi	柴米油盐
hoj	 
hok	 
hol	 
hom	 
hon	 
hoo	睒
hop	 
hoq	瞵
hor	虚度年华
hos	 
hot	 
hou	 
hov	瞊
how	 
hox	 
hoy	眯
hpa	 
hpb	瞎子
hpc	 
hpd	瞎
hpe	肻
hpf	睆
hpg	睿
hph	虎视眈眈
hpi	 
hpj	瞑
hpk	 
hpl	睴
hpm	 
hpn	矃
hpo	 
hpp	 
hpq	眈
hpr	 
hps	眝
hpt	敹
hpu	 
hpv	㢟
hpw	旧社会
hpx	 
hpy	非官方
hqa	眂
hqb	覎
hqc	餐
hqd	瞻
hqe	 
hqf	䙷
hqg	 
hqh	餐桌
hqi	眺
hqj	战争时期
hqk	眗
hql	餐车
hqm	旧金山
hqn	非金属
hqo	䁩
hqp	 
hqq	眵
hqr	战争年代
hqs	 
hqt	覹
hqu	歺
hqv	睁
hqw	瞻仰
hqx	紫外线
hqy	眺望
hra	 
hrb	䁓
hrc	眅
hrd	上气不接下气
hre	眽
hrf	目的地
hrg	虚拟现实
hrh	盺
hri	虚拟光纤
hrj	 
hrk	 
hrl	瞴
hrm	 
hrn	目的性
hro	 
hrp	虚拟空间
hrq	䁛
hrr	瞎指挥
hrs	 
hrt	睥
hru	目的意义
hrv	 
hrw	眣
hrx	䁻
hry	䁶
hsa	 
hsb	 
hsc	 
hsd	 
hse	 
hsf	瞟
hsg	目标责任制
hsh	盯
hsi	 
hsj	瞫
hsk	㱒
hsl	 
hsm	 
hsn	战术导弹
hso	 
hsp	 
hsq	 
hsr	 
hss	桌椅板凳
hst	目标管理
hsu	上述问题
hsv	䁏
hsw	盯住
hsx	 
hsy	 
hta	 
htb	具备了
htc	 
htd	䀢
hte	歬
htf	睡
htg	上升到
hth	睡眠
hti	睡觉
htj	 
htk	䀩
htl	 
htm	上升幅度
htn	盵
hto	瞅
htp	眨
htq	 
htr	睋
hts	 
htt	具备条件
htu	非生产性
htv	 
htw	瞛
htx	䀲
hty	 
hua	 
hub	 
huc	 
hud	瞻前顾后
hue	战斗力
huf	上半场
hug	眫
huh	非亲非故
hui	 
huj	瞳
huk	 
hul	䁬
hum	 
hun	矙
huo	占总数的
hup	 
huq	 
hur	目前的
hus	战斗机
hut	眼前利益
huu	上半部
huv	瞬间即逝
huw	战斗堡垒
hux	睇
huy	 
hva	 
hvb	 
hvc	 
hvd	 
hve	眼
hvf	 
hvg	眼下
hvh	眼睛
hvi	眼光
hvj	眼里
hvk	眧
hvl	眼界
hvm	眼见
hvn	 
hvo	 
hvp	眼帘
hvq	眼镜
hvr	眼看
hvs	 
hvt	眼科
hvu	眼前
hvv	 
hvw	 
hvx	眼红
hvy	䀓
hwa	具体工作
hwb	龄
hwc	瞈
hwd	具有
hwe	上个月
hwf	具体规定
hwg	瞪
hwh	具体目标
hwi	 
hwj	上个星期
hwk	占人口总数
hwl	齿轮
hwm	具体内容
hwn	具体情况
hwo	虚假广告
hwp	具体实际
hwq	具体负责
hwr	具体措施
hws	具体要求
hwt	具备
hwu	具
hwv	盼
hww	具体
hwx	 
hwy	瞧
hxa	此项
hxb	 
hxc	 
hxd	砦
hxe	眑
hxf	些
hxg	此事
hxh	䀕
hxi	此举
hxj	此时
hxk	呰
hxl	 
hxm	赀
hxn	此
hxo	此类
hxp	此案
hxq	觜
hxr	此后
hxs	柴
hxt	此种
hxu	此次
hxv	姕
hxw	雌
hxx	紫
hxy	訾
hya	 
hyb	 
hyc	瞮
hyd	 
hye	 
hyf	 
hyg	步调一致
hyh	 
hyi	 
hyj	 
hyk	上帝啊
hyl	䁴
hym	 
hyn	占主导地位
hyo	 
hyp	 
hyq	 
hyr	眼高手低
hys	 
hyt	眆
hyu	䁤
hyv	䀶
hyw	上市公司
hyx	眩
hyy	盿
iaa	江苏
iab	江阴
iac	港台
iad	湛
iae	满脸
iaf	泔
iag	江
iah	举世瞩目
iai	江苏省
iaj	漠
iak	灌
ial	灌输
iam	潢
ian	汇
iao	港府
iap	涝
iaq	鸿
iar	沤
ias	柒
iat	浇
iau	渠道
iav	沏
iaw	洪
iax	汇编
iay	㳀
iba	洗耳恭听
ibb	汲取
ibc	滠
ibd	瀡
ibe	泐
ibf	池塘
ibg	洱
ibh	滍
ibi	涵
ibj	消除影响
ibk	凼
ibl	消防车
ibm	泏
ibn	池
ibo	 
ibp	海陆空
ibq	 
ibr	派出所
ibs	派出机构
ibt	漋
ibu	涵盖
ibv	 
ibw	滁
ibx	㶌
iby	汲
ica	泾
icb	汉子
icc	尚难预料
icd	渗
ice	涌
icf	汉城
icg	泽
ich	涌上
ici	治水
icj	流通量
ick	治
icl	治国
icm	治山
icn	汿
ico	溤
icp	汉字
icq	沇
icr	流通手段
ics	治本
ict	渗透
icu	治疗
icv	汉奸
icw	滩
icx	 
icy	汉
ida	湖区
idb	尖子
idc	汯
idd	深有感触
ide	湖
idf	涯
idg	沽
idh	沣
idi	尜
idj	淹
idk	湖口
idl	湖畔
idm	湎
idn	没有必要
ido	少而精
idp	
idq	尖锐
idr	源
ids	激励机制
idt	涛
idu	尖
idv	尖刀
idw	溱
idx	泷
idy	汰
iea	深加工
ieb	浮
iec	淝
ied	小朋友
iee	滔
ief	肖
ieg	沮
ieh	溲
iei	滔滔
iej	削
iek	浮躁
iel	灂
iem	浮雕
ien	水力发电
ieo	 
iep	逍
ieq	淣
ier	常用的
ies	浮桥
iet	淫
ieu	削减
iev	浽
iew	削价
iex	溪
iey	添加剂
ifa	灞
ifb	法院
ifc	法
ifd	濡
ife	潜力
iff	尘
ifg	汢
ifh	汗
ifi	污染
ifj	潮
ifk	洁
ifl	法国
ifm	法则
ifn	污
ifo	法庭
ifp	渤
ifq	沅
ifr	法制
ifs	小规模
ift	渚
ifu	党支部
ifv	 
ifw	潜
ifx	浅
ify	深圳市
iga	光荣
igb	沌
igc	光驱
igd	添
ige	清
igf	兴趣
igg	汪
igh	沔
igi	光学
igj	洹
igk	滞
igl	添置
igm	沛
ign	满天飞
igo	涞
igp	党政军
igq	耀
igr	举措
igs	沫
igt	举行
igu	浃
igv	兴建
igw	举
igx	光纤
igy	誉为
iha	滤
ihb	涉及
ihc	波
ihd	渄
ihe	小股
ihf	小雨
ihg	泪
ihh	涉
ihi	渺
ihj	淖
ihk	沾
ihl	波恩
ihm	浈
ihn	泸
iho	小康
ihp	小农
ihq	瀣
ihr	小看
ihs	 
iht	小
ihu	波兰
ihv	小姐
ihw	濉
ihx	小组
ihy	小说
iia	海淀区
iib	消除
iic	港澳台
iid	消耗
iie	消
iif	深深地
iig	水平
iih	海湾战争
iii	淼
iij	水果
iik	水路
iil	小汽车
iim	淌
iin	江泽民
iio	水库
iip	水灾
iiq	淡泊名利
iir	消失
iis	消极
iit	沙
iiu	水产
iiv	消退
iiw	消化
iix	消费
iiy	沝
ija	瀑
ijb	㵊
ijc	温柔
ijd	瀑布
ije	滥用
ijf	沓
ijg	汨
ijh	漫步
iji	漫游
ijj	温暖
ijk	浏览器
ijl	漫
ijm	温岭
ijn	溻
ijo	湿
ijp	温室
ijq	渴
ijr	光明的
ijs	清晰可见
ijt	滥
iju	水电站
ijv	混杂
ijw	混合
ijx	混
ijy	浊
ika	涉足其间
ikb	湒
ikc	浥
ikd	 
ike	涓
ikf	呇
ikg	满足于
ikh	汌
iki	 
ikj	渑
ikk	澡
ikl	举足轻重
ikm	涡
ikn	 
iko	溃烂
ikp	 
ikq	酒足饭饱
ikr	水中捞月
iks	满足要求
ikt	满口答应
iku	溃疡
ikv	 
ikw	演唱会
ikx	㕾
iky	海口市
ila	法轮功
ilb	小圈子
ilc	举国欢腾
ild	涸
ile	渭
ilf	泴
ilg	泗
ilh	㳌
ili	渐渐
ilj	単
ilk	洄
ill	小轿车
ilm	㵋
iln	㴓
ilo	 
ilp	涟
ilq	 
ilr	渐
ils	涃
ilt	 
ilu	汽车站
ilv	漊
ilw	泅
ilx	漯
ily	深思熟虑
ima	澧
imb	小册子
imc	测验
imd	湍
ime	滑
imf	溅
img	油
imh	汕
imi	油漆
imj	测
imk	尚
iml	油田
imm	瀴
imn	尚属
imo	油料
imp	测定
imq	海内外
imr	油气
ims	尚可
imt	测算
imu	汕头
imv	 
imw	涔
imx	测绘
imy	浿
ina	泯
inb	潺
inc	泥巴
ind	党性原则
ine	 
inf	漏
ing	渥
inh	湄
ini	漏洞
inj	漏电
ink	浺
inl	泼墨
inm	涮
inn	汜
ino	 
inp	瀈
inq	 
inr	汤
ins	 
int	泼
inu	深层次
inv	泦
inw	濯
inx	泥
iny	沁
ioa	渡
iob	海底隧道
ioc	 
iod	辉煌成就
ioe	少数服从多数
iof	渡过
iog	澲
ioh	 
ioi	淡水
ioj	消磨时光
iok	渡口
iol	瀵
iom	 
ion	漉
ioo	淡
iop	小康社会
ioq	淡然
ior	辉煌的
ios	灖
iot	㲿
iou	濂
iov	溏
iow	淡化
iox	 
ioy	洣
ipa	黉
ipb	学
ipc	常驻
ipd	学历
ipe	浓
ipf	尝
ipg	演
iph	涫
ipi	泶
ipj	溟
ipk	党
ipl	浑
ipm	觉
ipn	学习
ipo	深度
ipp	温家宝
ipq	沈
ipr	滨
ips	泞
ipt	喾
ipu	滓
ipv	学好
ipw	深
ipx	沱
ipy	深刻
iqa	满负荷
iqb	 
iqc	沟
iqd	澹
iqe	淊
iqf	渔场
iqg	淦
iqh	沟壑
iqi	洮
iqj	洵
iqk	浼
iql	渔轮
iqm	涣
iqn	泡
iqo	渔业
iqp	淘宝
iqq	沉甸甸
iqr	淘
iqs	 
iqt	漪
iqu	海外关系
iqv	浄
iqw	染色体
iqx	涉外经济
iqy	汐
ira	党的基本路线
irb	汹
irc	派对
ird	淆
ire	派
irf	激动
irg	泊
irh	沂
iri	洙
irj	举报电话
irk	派遣
irl	汽车
irm	海誓山盟
irn	汽
iro	滚瓜烂熟
irp	法制宣传
irq	少年儿童
irr	浙
irs	 
irt	派生
iru	法制意识
irv	法制建设
irw	党的领导
irx	党的纪律
iry	激
isa	法西斯
isb	溧阳
isc	消极怠工
isd	酒厂
ise	河边
isf	漂
isg	洒
ish	汀
isi	江西省
isj	潭
isk	河
isl	学术界
ism	河内
isn	学术性
iso	酒店
isp	酒家
isq	 
isr	淅
iss	淋
ist	漂移
isu	河北
isv	㴗
isw	漆
isx	湘乡
isy	沐
ita	洚
itb	沲
itc	海难
itd	活
ite	少
itf	浩
itg	党和政府
ith	省
iti	潲
itj	少量
itk	洛
itl	洫
itm	澳
itn	泺
ito	潘
itp	泛
itq	海外
itr	少年
its	涤
itt	滗
itu	澳门
itv	水利建设
itw	常委会
itx	海
ity	汷
iua	当前工作
iub	溯
iuc	㶒
iud	满头大汗
iue	湔
iuf	混凝土
iug	泣
iuh	 
iui	河北省
iuj	涧
iuk	涪
iul	没意思
ium	潎
iun	水产局
iuo	水产业
iup	滋补
iuq	注意解决
iur	当前的
ius	河北梆子
iut	ㄅ
iuu	海关总署
iuv	淁
iuw	溢
iux	滋
iuy	漳州
iva	当世
ivb	当阳
ivc	溉
ivd	当成
ive	当月
ivf	当
ivg	汝
ivh	濜
ivi	渌
ivj	当时
ivk	沼
ivl	淄
ivm	津贴
ivn	氿
ivo	染料
ivp	浸
ivq	当然
ivr	当年
ivs	染
ivt	当选
ivu	当前
ivv	当即
ivw	梁
ivx	 
ivy	涩
iwa	当今世界
iwb	沧
iwc	没
iwd	没有
iwe	脊
iwf	浍
iwg	涂
iwh	浟
iwi	沿海
iwj	当今时代
iwk	沿
iwl	 
iwm	沿岸
iwn	㲹
iwo	濮
iwp	当今社会
iwq	没错
iwr	滏
iws	脊柱
iwt	没什么
iwu	氼
iwv	汾
iww	浴
iwx	沦
iwy	淮
ixa	消费基金
ixb	渳
ixc	泓
ixd	 
ixe	沸腾
ixf	消费者
ixg	流线型
ixh	沸点
ixi	消费水平
ixj	沸
ixk	消费品
ixl	党纪国法
ixm	涨幅
ixn	党组书记
ixo	 
ixp	 
ixq	滞纳金
ixr	 
ixs	常绿植物
ixt	涨
ixu	溺
ixv	 
ixw	潍
ixx	党组织
ixy	消费市场
iya	浪花
iyb	洲际
iyc	流
iyd	流感
iye	兴高采烈
iyf	流动
iyg	注
iyh	汴
iyi	浪潮
iyj	济
iyk	淳
iyl	澶
iym	注册
iyn	沪
iyo	湾
iyp	游客
iyq	注销
iyr	漓
iys	洗衣机
iyt	洲
iyu	滴
iyv	浪
iyw	液
iyx	泫
iyy	汶
jaa	蠂
jab	师范院校
jac	 
jad	蟒
jae	暴力
jaf	蚶
jag	虹
jah	蚜
jai	暴涨
jaj	蜡
jak	蜮
jal	蠛
jam	蟥
jan	蝶
jao	蜡烛
jap	蝾
jaq	曔
jar	显著提高
jas	最基本的
jat	晓
jau	 
jav	暴怒
jaw	暴
jax	 
jay	星期六
jba	电子工业
jbb	电子出版
jbc	最
jbd	最大
jbe	临阵脱逃
jbf	㫗
jbg	虸
jbh	㫞
jbi	最小
jbj	最早
jbk	电子器件
jbl	蜢
jbm	电子邮件
jbn	虵
jbo	临阵磨枪
jbp	最初
jbq	最多
jbr	最近
jbs	 
jbt	最长
jbu	最新
jbv	最好
jbw	最佳
jbx	最终
jby	最高
jca	昪
jcb	 
jcc	蝃
jcd	坚硬
jce	肾
jcf	坚
jcg	蚂
jch	 
jci	 
jcj	紧紧
jck	紧跟
jcl	坚固
jcm	贤
jcn	蚆
jco	 
jcp	紧密
jcq	紧急
jcr	坚持
jcs	紧要
jct	蛑
jcu	竖
jcv	 
jcw	坚信
jcx	紧
jcy	 
jda	景泰蓝
jdb	最大限度地
jdc	蛂
jdd	是否有可能
jde	蝴
jdf	晨
jdg	蛄
jdh	蚌
jdi	晨光
jdj	是不是
jdk	 
jdl	 
jdm	暊
jdn	晟
jdo	 
jdp	 
jdq	 
jdr	螈
jds	是不可能的
jdt	是否符合
jdu	旲
jdv	 
jdw	蝽
jdx	昽
jdy	明确方向
jea	电加工
jeb	蜉
jec	 
jed	明确
jee	明月
jef	冐
jeg	明
jeh	螋
jei	暖流
jej	明显
jek	日用品
jel	盟
jem	电力网
jen	明快
jeo	电脑应用
jep	暧
jeq	明镜
jer	明年
jes	电力机车
jet	㫑
jeu	明净
jev	明媚
jew	电脑公司
jex	明细
jey	电脑市场
jfa	时期
jfb	时限
jfc	野
jfd	里
jfe	里边
jff	蛙
jfg	时速
jfh	旰
jfi	昧
jfj	早
jfk	蟛
jfl	旱田
jfm	蝻
jfn	早已
jfo	黒
jfp	时空
jfq	时钟
jfr	时报
jfs	时机
jft	暑
jfu	时间
jfv	果真如此
jfw	蚨
jfx	临场经验
jfy	时
jga	师范
jgb	量子
jgc	蛭
jgd	昊
jge	晴
jgf	旦
jgg	旺
jgh	题
jgi	蛷
jgj	量
jgk	晤
jgl	最惠国待遇
jgm	师
jgn	 
jgo	题库
jgp	题写
jgq	题名
jgr	昨天的
jgs	题材
jgt	师生
jgu	蛱
jgv	蛵
jgw	师傅
jgx	昨天结束
jgy	题词
jha	监督工作
jhb	冒险
jhc	畅通
jhd	坚贞不屈
jhe	勖
jhf	冒
jhg	朄
jhh	刂
jhi	畅游
jhj	晚些时候
jhk	申
jhl	 
jhm	＃
jhn	虫
jho	冒烟
jhp	虫害
jhq	畅销
jhr	申报
jhs	监督机构
jht	监督管理
jhu	冒着
jhv	 
jhw	冒领
jhx	明目张胆
jhy	虲
jia	日常工作
jib	 
jic	鉴赏能力
jid	最深厚的
jie	蛸
jif	晃动
jig	晃
jih	 
jii	 
jij	暴涨暴跌
jik	 
jil	 
jim	㫾
jin	 
jio	日光灯
jip	螳
jiq	 
jir	最小的
jis	 
jit	日常生活
jiu	临渊羡鱼
jiv	 
jiw	旱涝保收
jix	 
jiy	最深刻
jja	曝
jjb	日子
jjc	临时观点
jjd	明显成效
jje	日用
jjf	昌
jjg	昍
jjh	星星点点
jji	日常
jjj	晶
jjk	日中
jjl	紧紧围绕
jjm	日内
jjn	明显改善
jjo	照明灯
jjp	星星之火
jjq	蝎
jjr	明显的
jjs	蜾
jjt	日程
jju	日前
jjv	明显好转
jjw	晶体
jjx	影影绰绰
jjy	䖵
jka	 
jkb	 
jkc	鉴别能力
jkd	 
jke	影响力
jkf	 
jkg	蜈
jkh	蚛
jki	暗中活动
jkj	蝇
jkk	暺
jkl	 
jkm	蜗
jkn	 
jko	 
jkp	 
jkq	㫛
jkr	鉴别手段
jks	影响极坏
jkt	影响很大
jku	 
jkv	暴跳如雷
jkw	 
jkx	 
jky	鉴别方法
jla	蛊惑
jlb	 
jlc	曼
jld	坚固耐用
jle	蝟
jlf	蛊
jlg	蝈
jlh	蛼
jli	曙光
jlj	 
jlk	蛔
jll	蠝
jlm	 
jln	 
jlo	 
jlp	 
jlq	蠋
jlr	螹
jls	星罗棋布
jlt	蜠
jlu	 
jlv	 
jlw	曼谷
jlx	螺
jly	是因为
jma	蛐
jmb	遇险
jmc	遇难
jmd	映
jme	螖
jmf	蚺
jmg	蚰
jmh	愚
jmi	 
jmj	旵
jmk	 
jml	 
jmm	遇见
jmn	 
jmo	 
jmp	映衬
jmq	蚬
jmr	帅气
